House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
301,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000152C3M,R 310 MISSISSIPPI AV,301 ALABAMA AV,
305,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,00001523R3,R 310 MISSISSIPPI AV,305 ALABAMA AV,
307,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000152D3N,R 310 MISSISSIPPI AV,307 ALABAMA AV,
309,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000152AE3,R 310 MISSISSIPPI AV,309 ALABAMA AV,
311,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,00001522AA,R 310 MISSISSIPPI AV,311 ALABAMA AV,
313,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000152B8S,R 310 MISSISSIPPI AV,313 ALABAMA AV,
315,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,000015260W,R 310 MISSISSIPPI AV,315 ALABAMA AV,
317,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000151Z8B,R 320 MISSISSIPPI AV,317 ALABAMA AV,
319,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000152C3O,R 320 MISSISSIPPI AV,319 ALABAMA AV,
321,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000152790,R 320 MISSISSIPPI AV,321 ALABAMA AV,
323,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000151XSX,R 320 MISSISSIPPI AV,323 ALABAMA AV,
325,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,0000152CKM,R 320 MISSISSIPPI AV,325 ALABAMA AV,
327,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,000015204J,R 320 MISSISSIPPI AV,327 ALABAMA AV,
329,ALABAMA AV,BOGALUSA,70427,,,,,,,110403,00001523WB,R 320 MISSISSIPPI AV,329 ALABAMA AV,
314,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001527V7,R 321 MONTGOMERY ST,314 ATLANTA ST,
316,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,0000152BJ1,R 321 MONTGOMERY ST,316 ATLANTA ST,
318,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001527VQ,R 321 MONTGOMERY ST,318 ATLANTA ST,
320,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001520NB,R 321 MONTGOMERY ST,320 ATLANTA ST,
324,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001526U1,R 336 ATLANTA ST,324 ATLANTA ST,
325,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,0000152CII,R 422 MISSISSIPPI AV,325 ATLANTA ST,
328,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001526OB,R 336 ATLANTA ST,328 ATLANTA ST,
336,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001520XQ,R 336 ATLANTA ST,336 ATLANTA ST,
401,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001526RT,R 415 ATLANTA ST,401 ATLANTA ST,
403,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,0000152BNT,R 415 ATLANTA ST,403 ATLANTA ST,
405,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,0000152D43,R 415 ATLANTA ST,405 ATLANTA ST,
407,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001524LI,R 415 ATLANTA ST,407 ATLANTA ST,
409,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001527WA,R 415 ATLANTA ST,409 ATLANTA ST,
411,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001527VJ,R 415 ATLANTA ST,411 ATLANTA ST,
413,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,0000152C3X,R 415 ATLANTA ST,413 ATLANTA ST,
415,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,000015269X,R 415 ATLANTA ST,415 ATLANTA ST,
417,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,0000152C3Q,R 415 ATLANTA ST,417 ATLANTA ST,
419,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,0000152BYQ,R 415 ATLANTA ST,419 ATLANTA ST,
421,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,0000152C7L,R 415 ATLANTA ST,421 ATLANTA ST,
431,ATLANTA ST,BOGALUSA,70427,,,,,,,110403,00001523SM,OPP 431-1 ATLANTA ST,431 ATLANTA ST,
621,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001529IH,R 630 LOUISIANA AV,621 CAROLINA AV,
623,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001527VL,R 630 LOUISIANA AV,623 CAROLINA AV,
626,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001522A8,I 626 CAROLINA AV,626 CAROLINA AV,Y
628,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001527RR,R 704 LOUISIANA AV,628 CAROLINA AV,
701,CAROLINA AV,BOGALUSA,70427,,,,,BLDG,REAR HOUSE,110403,000105M6BY,R 704 LOUISIANA AV,701 CAROLINA AV     BLDG REAR HOUSE,
701,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001525QV,R 704 LOUISIANA AV,701 CAROLINA AV,Y
701,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001525QV,R 704 LOUISIANA AV,701 CAROLINA AV,
702,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152422,R 436 RICHMOND ST,702 CAROLINA AV,
703,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152668,R 704 LOUISIANA AV,703 CAROLINA AV,
707,CAROLINA AV,BOGALUSA,70427,UNIT,REAR HOUSE,,,,,110403,00010DSHI3,R 704 LOUISIANA AV,707 CAROLINA AV UNIT REAR HOUSE,
707,CAROLINA AV,BOGALUSA,70427,,,,,BLDG,REAR HOUSE,110403,00010DSBI7,R 704 LOUISIANA AV,707 CAROLINA AV     BLDG REAR HOUSE,
708,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001528H2,R 436 RICHMOND ST,708 CAROLINA AV,
712,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152BDA,R 436 RICHMOND ST,712 CAROLINA AV,
713,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152667,R 713 CAROLINA AV,713 CAROLINA AV,
713-B,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152BO0,R 713 CAROLINA AV,713-B CAROLINA AV,
715,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001529WF,R 713 CAROLINA AV,715 CAROLINA AV,
717,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001529WR,R 713 CAROLINA AV,717 CAROLINA AV,
718,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000151XU3,R 436 RICHMOND ST,718 CAROLINA AV,
719,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000151Y7I,R 713 CAROLINA AV,719 CAROLINA AV,
721,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000151ZRT,R 713 CAROLINA AV,721 CAROLINA AV,
722,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152B4W,R 726 CAROLINA AV,722 CAROLINA AV,
723,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001524LC,R 725 CAROLINA AV,723 CAROLINA AV,
725,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001527VG,R 725 CAROLINA AV,725 CAROLINA AV,
726,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152C0E,R 726 CAROLINA AV,726 CAROLINA AV,
727,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001527WC,R 725 CAROLINA AV,727 CAROLINA AV,
729,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000151YNP,R 725 CAROLINA AV,729 CAROLINA AV,
730,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001523OH,R 726 CAROLINA AV,730 CAROLINA AV,
731,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001520UI,R 725 CAROLINA AV,731 CAROLINA AV,
802,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,000015298G,S 426 ORLEANS ST,802 CAROLINA AV,
803,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001524G5,R 803 CAROLINA AV,803 CAROLINA AV,
808,CAROLINA AV,BOGALUSA,70427,APT,B,,,,,110403,0000152CPO,R 808B CAROLINA AV,808 CAROLINA AV APT B,
808,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152CXL,R 808 CAROLINA AV,808 CAROLINA AV,
809,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001523XF,R 803 CAROLINA AV,809 CAROLINA AV,
813,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001526A1,R 803 CAROLINA AV,813 CAROLINA AV,
818,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000151YYQ,R 808B CAROLINA AV,818 CAROLINA AV,
820,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,000015289O,R 826 CAROLINA AV,820 CAROLINA AV,
821,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000151ZKQ,R 821 CAROLINA AV,821 CAROLINA AV,
825,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001528ZY,R 821 CAROLINA AV,825 CAROLINA AV,
826,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152DRL,R 826 CAROLINA AV,826 CAROLINA AV,
831,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152DQR,R 803 CAROLINA AV,831 CAROLINA AV,
902,CAROLINA AV,BOGALUSA,70427,APT,A,,,,,110403,0000152B1M,S 902 CAROLINA AV,902 CAROLINA AV APT A,
910,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152BDQ,R 910 CAROLINA AV,910 CAROLINA AV,
911,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001524V8,R 911 CAROLINA AV,911 CAROLINA AV,
913,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152CK7,R 911 CAROLINA AV,913 CAROLINA AV,
919,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000152ATU,R 911 CAROLINA AV,919 CAROLINA AV,
921,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,0000151ZP8,R 911 CAROLINA AV,921 CAROLINA AV,
922,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,00001528VI,OPP 431 ATLANTA ST,922 CAROLINA AV,
923,CAROLINA AV,BOGALUSA,70427,,,,,,,110403,000015209K,R 911 CAROLINA AV,923 CAROLINA AV,
