House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
"250","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WPNH""","S 250 MOSS LN","250 AZALEA DR",""
"260","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WJ0J""","F 260 AZALEA DR","260 AZALEA DR",""
"270","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WMHP""","F 260 AZALEA DR","270 AZALEA DR",""
"280","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WN7D""","F 280 AZALEA DR","280 AZALEA DR",""
"290","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WJ65""","F 280 AZALEA DR","290 AZALEA DR",""
"295","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WPNT""","F 330 JASMINE DR","295 AZALEA DR",""
"300","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WLC0""","F 300 AZALEA DR","300 AZALEA DR",""
"305","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WKIK""","F 315 AZALEA DR","305 AZALEA DR",""
"310","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WMPO""","F 390 AZALEA DR","310 AZALEA DR",""
"315","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WMSG""","F 315 AZALEA DR","315 AZALEA DR",""
"325","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WP2A""","F 335 AZALEA DR","325 AZALEA DR",""
"335","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WIG2""","F 335 AZALEA DR","335 AZALEA DR",""
"340","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WL5J""","F 340 AZALEA DR","340 AZALEA DR",""
"345","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WIZG""","F 355 AZALEA DR","345 AZALEA DR",""
"350","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WLV4""","F 355 AZALEA DR","350 AZALEA DR",""
"355","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WKV8""","F 355 AZALEA DR","355 AZALEA DR",""
"360","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WLQV""","F 360 AZALEA DR","360 AZALEA DR",""
"364","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WKAT""","F 360 AZALEA DR","364 AZALEA DR",""
"365","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WMR8""","F 375 AZALEA DR","365 AZALEA DR",""
"370","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WJEW""","F 380 AZALEA DR","370 AZALEA DR",""
"375","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WIGE""","F 375 AZALEA DR","375 AZALEA DR",""
"380","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WOFF""","F 380 AZALEA DR","380 AZALEA DR",""
"385","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WJNX""","F 395 AZALEA DR","385 AZALEA DR",""
"390","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WJOS""","F 390 AZALEA DR","390 AZALEA DR",""
"394","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WJ7R""","F 390 AZALEA DR","394 AZALEA DR",""
"395","AZALEA DR","MANDEVILLE","70471","","","","","","","214002","=""000015WK8G""","F 395 AZALEA DR","395 AZALEA DR",""
