House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
51,BRADSHAW DR,REMLAP,35133,,,,,,,1214,0000190GFU,P 150-19-1L HIGHWAY 79,51 BRADSHAW DR,
58,BRADSHAW DR,REMLAP,35133,,,,,,,1214,0000190JGL,P 150-19-1L HIGHWAY 79,58 BRADSHAW DR,
115,GROUNDHOG LN,TRAFFORD,35172,,,,,,,1214,0000190BP7,F 55 GROUNDHOG LN,115 GROUNDHOG LN,
19,GROUNDHOG LN,TRAFFORD,35172,,,,,,,1214,0000190H9H,F 609 REID RD,19 GROUNDHOG LN,
95,GROUNDHOG LN,TRAFFORD,35172,,,,,,,1214,0000190BP5,F 55 GROUNDHOG LN,95 GROUNDHOG LN,
160,HICKS LN,REMLAP,35133,,,,,,,1214,0000190GUM,P 150-22 HIGHWAY 79,160 HICKS LN,
198,HICKS LN,REMLAP,35133,,,,,,,1214,0000190L1C,P 150-22 HIGHWAY 79,198 HICKS LN,
49,HICKS LN,REMLAP,35133,,,,,,,1214,0000190ES9,P 150-19-3II HIGHWAY 79,49 HICKS LN,
79,HICKS LN,REMLAP,35133,,,,,,,1214,0000190J4H,P 150-19-3 HIGHWAY 79,79 HICKS LN,
83,HICKS LN,REMLAP,35133,,,,,,,1214,0000190EYC,P 150-21 HIGHWAY 79,83 HICKS LN,
115,HOLT DR,TRAFFORD,35172,,,,,,,1214,0000190GVU,PED 159-1-2 HIGHWAY 79,115 HOLT DR,
160,HOLT DR,TRAFFORD,35172,,,,,,,1214,0000190CN1,P 159-1-4 HIGHWAY 79,160 HOLT DR,
175,HOLT DR,TRAFFORD,35172,,,,,,,1214,0000190BP3,P 159-1-5 HIGHWAY 79,175 HOLT DR,
29,HOLT DR,TRAFFORD,35172,,,,,,,1214,0000190M6L,PED 159-1-1 HIGHWAY 79,29 HOLT DR,
342,HOLT DR,TRAFFORD,35172,,,,,,,1214,0000190IR4,P 159-1-9 HIGHWAY 79,342 HOLT DR,
350,HOLT DR,TRAFFORD,35172,,,,,,,1214,0000190GIA,P 159-1-9 HIGHWAY 79,350 HOLT DR,
509,HOLT DR,TRAFFORD,35172,,,,,,,1214,0000190DFT,P 159-1-12 HIGHWAY 79,509 HOLT DR,
61,HOLT DR,TRAFFORD,35172,,,,,,,1214,0000190LSQ,PED 159-1-2 HIGHWAY 79,61 HOLT DR,
116,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190JI3,P 150-15-10L-3 HIGHWAY 79,116 HONEYCUTT RD,
151,HONEYCUTT RD,LOCUST FORK,35097,,,,,,,1214,0000190JVA,F 151 HONEYCUTT RD,151 HONEYCUTT RD,Y
167,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190KNW,F 167 HONEYCUTT RD,167 HONEYCUTT RD,
183,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190FPY,F 183 HONEYCUTT RD,183 HONEYCUTT RD,
194,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190JIE,F 183 HONEYCUTT RD,194 HONEYCUTT RD,
215,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190IBY,R 215 HONEYCUTT RD,215 HONEYCUTT RD,
355,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190D88,P 150-15-10L-8 HIGHWAY 79,355 HONEYCUTT RD,Y
377,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190GUI,P 150-15-10L-8 HIGHWAY 79,377 HONEYCUTT RD,
480,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190EKQ,P 150-15-10L-8 HIGHWAY 79,480 HONEYCUTT RD,
55,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,00011EBJ5Z,P 150-15-10L-3 HIGHWAY 79,55 HONEYCUTT RD,
550,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190DRO,P 150-15-10L-8 HIGHWAY 79,550 HONEYCUTT RD,
58,HONEYCUTT RD,LOCUST FORK,35097,,,,,,,1214,0000190GC6,P 150-15-10L-3 HIGHWAY 79,58 HONEYCUTT RD,
588,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190E5A,P 150-15-10L-8 HIGHWAY 79,588 HONEYCUTT RD,
81,HONEYCUTT RD,LOCUST FORK,35097,,,,,,,1214,0000190F6D,P 150-15-10L-3 HIGHWAY 79,81 HONEYCUTT RD,
82,HONEYCUTT RD,REMLAP,35133,,,,,,,1214,0000190G3G,F 1303 REID RD,82 HONEYCUTT RD,
