House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,Term Addr,DA/PSA,CLLI8,NPANNX,ADDR_ID,NSP_INQ_ID,LU_ID,DA_Ready,Granite Qual - Bit 15 BO Type,Op Ready,OVALS Qual,Forced Ind,Working TN Status
"100","ANITA PL","SLIDELL","70458","","","","","","","F 102 ANITA PL","611302","SLIDLAMA","985641","=""00000O7VE0""","=""N124955ce2d2""","=""1TQLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"101","ANITA PL","SLIDELL","70458","","","","","","","F 101 ANITA PL","611302","SLIDLAMA","985641","=""00000O7QWD""","=""F107b2809b1""","=""1BA83""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"102","ANITA PL","SLIDELL","70458","","","","","","","F 102 ANITA PL","611302","SLIDLAMA","985641","=""00000O7W0X""","=""F107b27df66""","=""12ID6""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"103","ANITA PL","SLIDELL","70458","","","","","","","F 101 ANITA PL","611302","SLIDLAMA","985641","=""00000O7ZH0""","=""F107b27e5a8""","=""13RLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"104","ANITA PL","SLIDELL","70458","","","","","","","F 104 ANITA PL","611302","SLIDLAMA","985641","=""00000O7TIJ""","=""F107b284503""","=""1NQLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"105","ANITA PL","SLIDELL","70458","","","","","","","F 105 ANITA PL","611302","SLIDLAMA","985641","=""00000O7YJ0""","=""F107b27f63b""","=""17A83""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"106","ANITA PL","SLIDELL","70458","","","","","","","F 104 ANITA PL","611302","SLIDLAMA","985641","=""00000O89YT""","=""F107b285357""","=""1QQLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"107","ANITA PL","SLIDELL","70458","","","","","","","F 105 ANITA PL","611302","SLIDLAMA","985641","=""00000O7O10""","=""F107b280605""","=""1AID6""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"108","ANITA PL","SLIDELL","70458","","","","","","","F 108 ANITA PL","611302","SLIDLAMA","985641","=""00000O7SS8""","=""F107b28289e""","=""1HQLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"109","ANITA PL","SLIDELL","70458","","","","","","","F 210 LORELEI CIR","611302","SLIDLAMA","985641","=""00000O7VP2""","=""F107b27d786""","=""10RLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"110","ANITA PL","SLIDELL","70458","","","","","","","F 108 ANITA PL","611302","SLIDLAMA","985641","=""00000O843K""","=""F107b2836e7""","=""1KQLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"111","ANITA PL","SLIDELL","70458","","","","","","","F 109 ANITA PL","611302","SLIDLAMA","985641","=""00000O7SIK""","=""F107b27f2b4""","=""16ID6""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"112","ANITA PL","SLIDELL","70458","","","","","","","F 113 ANITA PL","611302","SLIDLAMA","985641","=""00000O7REG""","=""F107b2868ab""","=""1V983""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"113","ANITA PL","SLIDELL","70458","","","","","","","F 113 ANITA PL","611302","SLIDLAMA","985641","=""00000O81EB""","=""F107b27e2f5""","=""13A83""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"101","BARBARA LN","SLIDELL","70458","","","","","","","F 101 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7TTZ""","=""F107b27f849""","=""17OC6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"103","BARBARA LN","SLIDELL","70458","","","","","","","F 101 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7TZ9""","=""N1279e873939""","=""1NLF51.F""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"105","BARBARA LN","SLIDELL","70458","","","","","","","F 105 BARBARA LN","611302","SLIDLAMA","985641","=""00000O81RH""","=""F107b2857d6""","=""1RNC6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"106","BARBARA LN","SLIDELL","70458","","","","","","","F 106 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7VE9""","=""F107b284026""","=""1MPC6""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"107","BARBARA LN","SLIDELL","70458","","","","","","","F 105 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7OXB""","=""F107b281ed5""","=""1FOC6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"109","BARBARA LN","SLIDELL","70458","","","","","","","F 105 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7SJW""","=""F107b2831cf""","=""1JOC6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"111","BARBARA LN","SLIDELL","70458","","","","","","","F 115 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7TXK""","=""F107b280cb2""","=""1BTV.C""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"112","BARBARA LN","SLIDELL","70458","","","","","","","F 114 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7OST""","=""F107b280667""","=""1AL5J.2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"113","BARBARA LN","SLIDELL","70458","","","","","","","F 115 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7S06""","=""F107b280be6""","=""1BOC6""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"114","BARBARA LN","SLIDELL","70458","","","","","","","F 114 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7RGX""","=""F107b27f366""","=""16N71""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"115","BARBARA LN","SLIDELL","70458","","","","","","","F 115 BARBARA LN","611302","SLIDLAMA","985641","=""00000O80FD""","=""F107b282638""","=""1HA2E.E""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"116","BARBARA LN","SLIDELL","70458","","","","","","","F 117 BARBARA LN","611302","SLIDLAMA","985641","=""00000O7XVS""","=""N12abcc3b5a5""","=""10DT11.E""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"117","BARBARA LN","SLIDELL","70458","","","","","","","F 117 BARBARA LN","611302","SLIDLAMA","985641","=""00000O83UO""","=""N12abcc3b5b3""","=""1LA2J""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
