House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
"5601","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVO70""","F 5649 NW 106TH WAY","5601 NW 106TH WAY",""
"5616","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVG16""","F 5648 NW 106TH WAY","5616 NW 106TH WAY",""
"5617","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVMXV""","F 5649 NW 106TH WAY","5617 NW 106TH WAY",""
"5632","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVHB7""","F 5648 NW 106TH WAY","5632 NW 106TH WAY",""
"5633","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVH49""","F 5649 NW 106TH WAY","5633 NW 106TH WAY",""
"5648","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVMRY""","F 5648 NW 106TH WAY","5648 NW 106TH WAY",""
"5649","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVHQM""","F 5649 NW 106TH WAY","5649 NW 106TH WAY",""
"5664","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVLAX""","F 5648 NW 106TH WAY","5664 NW 106TH WAY",""
"5665","NW 106TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVIE1""","F 5649 NW 106TH WAY","5665 NW 106TH WAY",""
"5603","NW 107TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGMX""","F 5635 NW 107TH AV","5603 NW 107TH AV",""
"5618","NW 107TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVJSJ""","F 5618 NW 107TH AV","5618 NW 107TH AV","Y"
"5619","NW 107TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVHI3""","F 5635 NW 107TH AV","5619 NW 107TH AV",""
"5634","NW 107TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVLFR""","F 5618 NW 107TH AV","5634 NW 107TH AV",""
"5635","NW 107TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKTW""","F 5635 NW 107TH AV","5635 NW 107TH AV",""
"5650","NW 107TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKV7""","F 5618 NW 107TH AV","5650 NW 107TH AV","Y"
"5651","NW 107TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVIB3""","F 5635 NW 107TH AV","5651 NW 107TH AV",""
"5604","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVHC4""","F 5614 NW 108TH TER","5604 NW 108TH TER",""
"5614","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVNVF""","F 5614 NW 108TH TER","5614 NW 108TH TER",""
"5615","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVMDJ""","F 5661 NW 108TH TER","5615 NW 108TH TER",""
"5631","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGLL""","F 5661 NW 108TH TER","5631 NW 108TH TER",""
"5632","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKCY""","F 5614 NW 108TH TER","5632 NW 108TH TER",""
"5645","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVH1X""","F 5661 NW 108TH TER","5645 NW 108TH TER",""
"5646","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVMM2""","F 5660 NW 108TH TER","5646 NW 108TH TER",""
"5660","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVN5L""","F 5660 NW 108TH TER","5660 NW 108TH TER",""
"5661","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVJNV""","F 5661 NW 108TH TER","5661 NW 108TH TER",""
"5674","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVJKY""","F 5660 NW 108TH TER","5674 NW 108TH TER",""
"5675","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVNYY""","F 5661 NW 108TH TER","5675 NW 108TH TER",""
"5688","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGWI""","F 5660 NW 108TH TER","5688 NW 108TH TER",""
"5689","NW 108TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKZP""","F 5661 NW 108TH TER","5689 NW 108TH TER",""
"5604","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVOMN""","F 5628 NW 108TH WAY","5604 NW 108TH WAY",""
"5605","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGGG""","F 5613 NW 108TH WAY","5605 NW 108TH WAY","Y"
"5612","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVLQB""","F 5628 NW 108TH WAY","5612 NW 108TH WAY",""
"5613","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVN68""","F 5613 NW 108TH WAY","5613 NW 108TH WAY",""
"5620","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVOXI""","F 5628 NW 108TH WAY","5620 NW 108TH WAY",""
"5628","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVOMO""","F 5628 NW 108TH WAY","5628 NW 108TH WAY",""
"5629","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVIM8""","F 5613 NW 108TH WAY","5629 NW 108TH WAY",""
"5636","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGOX""","F 5652 NW 108TH WAY","5636 NW 108TH WAY",""
"5637","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKSW""","F 5613 NW 108TH WAY","5637 NW 108TH WAY",""
"5644","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGBR""","F 5652 NW 108TH WAY","5644 NW 108TH WAY",""
"5645","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKS4""","F 5653 NW 108TH WAY","5645 NW 108TH WAY",""
"5652","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVNYA""","F 5652 NW 108TH WAY","5652 NW 108TH WAY",""
"5653","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVK5B""","F 5653 NW 108TH WAY","5653 NW 108TH WAY",""
"5660","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVPCG""","F 5652 NW 108TH WAY","5660 NW 108TH WAY",""
"5661","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVMY7""","F 5653 NW 108TH WAY","5661 NW 108TH WAY",""
"5668","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVLKP""","F 5652 NW 108TH WAY","5668 NW 108TH WAY",""
"5669","NW 108TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVNJH""","F 5653 NW 108TH WAY","5669 NW 108TH WAY",""
"5183","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVFRU""","F 5183 NW 112TH TER","5183 NW 112TH TER",""
"5195","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVP2V""","F 5195 NW 112TH TER","5195 NW 112TH TER",""
"5207","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVLQS""","F 5207 NW 112TH TER","5207 NW 112TH TER",""
"5213","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVI8U""","F 5213.1 NW 112TH TER","5213 NW 112TH TER",""
"5218","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVFYL""","F 5218 NW 112TH TER","5218 NW 112TH TER",""
"5225","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVHEE""","F 5225 NW 112TH TER","5225 NW 112TH TER",""
"5228","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVMM3""","F 5228 NW 112TH TER","5228 NW 112TH TER",""
"5237","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVJL3""","F 5237 NW 112TH TER","5237 NW 112TH TER",""
"5238","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVOR9""","F 5238 NW 112TH TER","5238 NW 112TH TER",""
"5243","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKPW""","F 5243 NW 112TH TER","5243 NW 112TH TER",""
"5248","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVH5Q""","F 5288 NW 112TH TER","5248 NW 112TH TER",""
"5255","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVOYB""","F 5255 NW 112TH TER","5255 NW 112TH TER",""
"5258","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVK66""","F 5258 NW 112TH TER","5258 NW 112TH TER",""
"5267","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVO4D""","F 5267 NW 112TH TER","5267 NW 112TH TER",""
"5268","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVNKI""","F 5268 NW 112TH TER","5268 NW 112TH TER",""
"5273","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVP4P""","F 5273 NW 112TH TER","5273 NW 112TH TER",""
"5278","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVFTP""","F 5278 NW 112TH TER","5278 NW 112TH TER",""
"5285","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVJQH""","RF 5285 NW 112TH TER","5285 NW 112TH TER",""
"5288","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVP0Z""","F 5288 NW 112TH TER","5288 NW 112TH TER",""
"5297","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVHJR""","F 5297 NW 112TH TER","5297 NW 112TH TER",""
"5303","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVNSI""","F 5303 NW 112TH TER","5303 NW 112TH TER",""
"5315","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVNK3""","F 5315 NW 112TH TER","5315 NW 112TH TER",""
"5327","NW 112TH TER","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKY3""","F 5327 NW 112TH TER","5327 NW 112TH TER","Y"
"5229","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGXE""","F 5229 NW 112TH WAY","5229 NW 112TH WAY",""
"5230","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVMKR""","F 5230 NW 112TH WAY","5230 NW 112TH WAY",""
"5239","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVIR5""","F 5239 NW 112TH WAY","5239 NW 112TH WAY",""
"5240","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVICB""","F 5240 NW 112TH WAY","5240 NW 112TH WAY",""
"5249","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKQV""","F 5249 NW 112TH WAY","5249 NW 112TH WAY","Y"
"5250","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVM5W""","F 5250 NW 112TH WAY","5250 NW 112TH WAY",""
"5259","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVJ11""","F 5259 NW 112TH WAY","5259 NW 112TH WAY",""
"5260","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGBU""","F 5260 NW 112TH WAY","5260 NW 112TH WAY",""
"5269","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVIF6""","F 5269 NW 112TH WAY","5269 NW 112TH WAY",""
"5270","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVFRW""","F 5270 NW 112TH WAY","5270 NW 112TH WAY",""
"5279","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVPDM""","F 5279 NW 112TH WAY","5279 NW 112TH WAY",""
"5280","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVJYJ""","F 5280 NW 112TH WAY","5280 NW 112TH WAY",""
"5289","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVGSK""","F 5289 NW 112TH WAY","5289 NW 112TH WAY",""
"5290","NW 112TH WAY","CRL SPRNGS","33076","","","","","","","141408","=""00000EVKR7""","F 5290 NW 112TH WAY","5290 NW 112TH WAY",""
"5232","NW 113TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVPEE""","F 5232 NW 113TH AV","5232 NW 113TH AV",""
"5241","NW 113TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVIAL""","F 5241 NW 113TH AV","5241 NW 113TH AV",""
"5242","NW 113TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVOXX""","F 5242 NW 113TH AV","5242 NW 113TH AV",""
"5251","NW 113TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVPDC""","F 5251 NW 113TH AV","5251 NW 113TH AV",""
"5252","NW 113TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVLB0""","F 5252 NW 113TH AV","5252 NW 113TH AV",""
"5261","NW 113TH AV","CRL SPRNGS","33076","","","","","","","141408","=""00000EVICL""","F 5261 NW 113TH AV","5261 NW 113TH AV",""
